12624.0
31181
19
1 321 1142 0.281085814361
16 667 2034 0.327925270403
11 689 2078 0.331568816169
10 805 2310 0.348484848485
9 1060 3020 0.350993377483
6 1101 3102 0.354932301741
4 1107 3114 0.35549132948
8 962 2624 0.366615853659
5 1022 2744 0.372448979592
17 1833 4766 0.38459924465
12 1513 3926 0.385379521141
15 1865 4830 0.386128364389
0 1945 4990 0.389779559118
7 2890 7280 0.396978021978
2 2945 7390 0.39851150203
3 4136 10372 0.398765908214
13 3878 9656 0.401615575808
14 13504 32708 0.412865354042
18 16553 40006 0.41376293556
